CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	X	Y	Z	RotX	RotY	RotZ
3000.228508438835	3593.4345966875044	3383.660886631353	n/a	n/a	n/a	n/a	-0.0451453602	-0.0140895026	-0.08871219400000001	-0.0282191652	0.016492605	0.017678356699999998	0.0041489145	-0.0355557918	0.0637742638	-0.1524404891	-0.0316045743	0.11144920119999999	0.0980552714	0.098046883	0.098032903	0.098013332	0.09798817119999999	-0.0865991	-0.0523522	0.0552839	-0.00346977	0.00107054	-0.00147575
2991.9481267501037	3592.7926972232726	3383.272705508425	0.94438189	13.55697155	0.915838	0.0670242	-0.0656782679	0.0026027773000000002	0.016708165900000002	-0.0223298018	-0.0345049086	-0.1412475763	-0.0234759602	-0.0372318154	0.0387552577	-0.1600690094	-0.0236565918	0.0712140911	0.098032903	0.09795742199999999	0.0978316635	0.0976556919	0.0974295977	-0.08662309999999998	-0.0575709	0.0375946	-0.00377368	0.000994714	-0.000973642
2998.919303610619	3591.3896540497753	3384.0650669917336	0.8669132	12.44487858	0.85917366	0.0735293	-0.06572895599999999	-0.0256135469	0.0434187384	-0.0168336565	0.0719424367	-0.1271847616	-0.022171319199999998	-0.025379485299999997	0.043263601900000004	-0.1374457447	-0.0218583156	0.0153120295	0.09798817119999999	0.0977785816	0.0974295977	0.09694171689999999	0.09631563480000001	-0.0865964	-0.0468259	0.0203392	-0.00328759	0.00129104	-0.00110127
2999.0848559219826	3592.942393627665	3382.5727259273713	0.83669156	12.01103497	0.83463651	0.06953860000000002	-0.0405015341	-0.0285769914	0.0055477901	-0.014430699699999999	0.1030878094	-0.05338517	-0.0077354092000000005	-0.0227853763	0.0459458014	-0.1191591212	-0.041007801499999996	0.027533085099999997	0.0979210862	0.097510525	0.0968275308	0.095874012	0.0946526326	-0.07570839999999998	-0.0478362	0.0484075	-0.00298308	0.00110425	-0.00120141
2997.918797829154	3589.8012533905357	3380.74386130166	0.78946531	11.33308315	0.81770712	0.1185067	-0.0368786745	-0.0554385599	-0.046270567699999994	-0.0121833006	0.0700355913	0.0090767596	-0.0093760073	-0.0191580238	0.0111187415	-0.123337139	-0.0542772932	0.033445416299999996	0.0978316635	0.0971534967	0.09602669890000001	0.0944564733	0.0924500708	-0.0692859	-0.0333061	0.0187134	-0.00192902	0.00081583	-0.00118669
2992.387524990043	3590.7988821583504	3379.6272202654964	0.83218354	11.94632053	0.81442177	0.037395099999999994	-0.034068222999999995	-0.048993650199999995	-0.1008453608	0.008833642099999999	-0.0039756364	0.0375487752	-0.027178894199999998	-0.035553934100000004	0.0080618951	-0.08288948730000001	-0.0249810066	0.039884870499999996	0.0977199233	0.09670782259999999	0.0950287458	0.0926942731	0.089720505	-0.0651056	-0.0358596	0.0273192	-0.00194159	0.00050541	-0.00106857
3001.5887481901123	3593.4737036710917	3380.531113138595	0.83847809	12.03668118	0.82400793	0.054321	-0.0282668455	-0.0375661309	-0.08103885400000001	-0.0369672883	-0.0729714997	0.0084261149	-0.011754396	-0.0265748432	0.0360664327	-0.0661789112	0.0030262991999999997	0.030081354900000003	0.0975858912	0.0961739093	0.09383572009999999	0.0905938416	0.08647949490000001	-0.0632462	-0.0538189	0.044484	-0.0017168	0.00050541	-0.00119053
2997.1552102677106	3593.333543600813	3382.1998872855283	0.89907473	12.90656948	0.82624882	0.058400650000000026	-0.0276220114	-0.046047585300000006	0.0314228304	-0.008830999499999999	-0.028260475400000002	-0.0659497566	-0.022248048700000002	-0.0215569427	0.0317214951	-0.0865177039	-0.018089598000000002	0.0017061882	0.0974295977	0.0955522439	0.0924500708	0.088162843	0.0827455156	-0.0657419	-0.0424876	0.0170686	-0.00160127	0.000453495	-0.00136625
2998.251008900079	3592.825152814162	3383.101210361194	0.88730037	12.73754406	0.82866246	0.05381588	-0.0188728475	-0.0415955002	0.059338255199999995	-0.00039966519999999996	0.0490559321	-0.0578089766	-0.0040673069000000004	-0.0136686471	0.0296897231	-0.0641157307	-0.0184950907	-0.0021171959	0.09725107849999999	0.09484339369999999	0.0908746423	0.0854101477	0.0785398523	-0.0613849	-0.0245986	0.007557969999999998	-0.00131552	0.00050541	-0.00126273
3003.1322434238928	3593.353658053435	3380.5038591148623	0.84385407	12.11385536	0.81810141	0.05920183	-0.0110807619	-0.0150762343	-0.0028344305	-0.009883908299999999	0.067150592	-0.0066047187	-0.007570999	0.005282895300000001	0.024457895299999997	-0.048396676	-0.0174905117	0.011854408500000002	0.09705037429999999	0.0940480054	0.0891126687	0.08234580009999999	0.073886479	-0.0537438	-0.0339467	0.0186135	-0.00160806	0.00050541	-0.000932128
2999.815803261637	3593.7323066137956	3379.807007982893	0.79866374	11.46513081	0.81688273	0.061860749999999985	-0.012447461299999999	-0.029293836299999997	-0.0358760495	-0.016983603	0.051413318	0.061438445	-0.0099949192	-0.0056927835	0.030942714700000002	-0.021591771800000003	-0.0174140223	0.0265903548	0.0968275308	0.0931668048	0.0871677669	0.0789809816	0.0688119219	-0.0449758	-0.021578	0.0194107	-0.00113334	0.000181593	-0.000932128
3002.974851167972	3592.424145957859	3379.617788591057	0.82626611	11.8613739	0.83571309	0.04283365000000001	-0.010338714799999999	-0.0207240103	-0.08151866769999999	-0.0098440512	-0.0451534586	0.02234365	0.0010540009	-0.002901558	0.0283005006	-0.011024196299999999	0.0065957406	-0.0159629098	0.0965825991	0.092200596	0.08504392919999999	0.07532797	0.06334510809999999	-0.039928	-0.0138043	0.03114	-0.00113334	-0.000125218	-0.0008732819999999999
3002.0856817362555	3592.9449580200344	3378.060101637738	0.84478945	12.1272831	0.8475737	0.029797449999999993	-0.0160325513	0.0016502855	0.0167554575	-0.0241749692	-0.0866646457	-0.0443110071	-0.0090875782	-0.0111768929	0.0097926986	-0.0269014515	0.0367012685	-0.0084485153	0.09631563480000001	0.09115026039999999	0.0827455156	0.0714000949	0.0575172008	-0.0235069	-0.0220345	0.0311592	-0.00113334	-0.000168911	-0.000932128
